url,title,price,price_member,color
https://ao.com/product/hic3c26wukn-hotpoint-standard-dishwasher-stainless-steel-82566-23.aspx,Hotpoint HIC3C26WUKN Fully Integrated Standard Dishwasher - Stainless Steel Control Panel with Fixed Door Fixing Kit - E Rated,£379,£364,steel
https://ao.com/product/dis15020-beko-slimline-dishwasher-black-76858-24.aspx,Beko DIS15020 Fully Integrated Slimline Dishwasher - Black Control Panel with Fixed Door Fixing Kit - E Rated,£279,£269,black
https://ao.com/product/wna144v9gb-bosch-series-4-washer-dryer-white-96514-2.aspx,Bosch Series 4 WNA144V9GB 9Kg / 5Kg Washer Dryer with 1400 rpm - White - E Rated,£799,£779,white
https://ao.com/product/din15x20-beko-standard-dishwasher-black-95859-23.aspx,Beko DIN15X20 Fully Integrated Standard Dishwasher - Black Control Panel with Fixed Door Fixing Kit - E Rated,£309,£299,black
https://ao.com/product/dis16r10-beko-slimline-dishwasher-silver-58677-24.aspx,Beko DIS16R10 Fully Integrated Slimline Dishwasher - Silver Control Panel with Fixed Door Fixing Kit - E Rated,£329,£319,silver
https://ao.com/product/g5362%C2%A0scvi-miele-standard-dishwasher-stainless-steel-97257-23.aspx,Miele G5362 SCVi Fully Integrated Standard Dishwasher - Stainless Steel Control Panel - C Rated,"£1,074",,steel
https://ao.com/product/hbwos69tmce-hoover-hwash-300-pro-washing-machine-white-82128-1.aspx,Hoover H-WASH 300 PRO HBWOS69TMCE Integrated 9kg Washing Machine with 1600 rpm - White / Chrome - B Rated,£559,,white
https://ao.com/product/din16430-beko-standard-dishwasher-black-76345-23.aspx,Beko DIN16430 Fully Integrated Standard Dishwasher - Silver / Black Control Panel with Fixed Door Fixing Kit - D Rated,£369,£354,black
https://ao.com/product/smv6zcx01g-bosch-series-6-standard-dishwasher-stainless-steel-83233-23.aspx,"Bosch Serie 6 SMV6ZCX01G Standard Fully Integrated Dishwasher with PerfectDry, TimeLight and VarioDrawer",£799,£779,steel
https://ao.com/product/hbdos695tame-hoover-hwashdry-300-pro-washer-dryer-white-95231-2.aspx,Hoover H-WASH&DRY 300 PRO HBDOS695TAME Integrated 9Kg / 5Kg Washer Dryer with 1600 rpm - White - D Rated,£579,,white
